Agent,Prior,Target,Score,SMILES,SMILES_state,Input_Scaffold,R-groups,# rotatable bonds (<10),# rotatable bonds (<10) (raw),# stereo centers (<2),# stereo centers (<2) (raw),Molecular weight (350-600),Molecular weight (350-600) (raw),logP (<=5),logP (<=5) (raw),TPSA (<=150),TPSA (<=150) (raw),# aromatic rings (<5),# aromatic rings (<5) (raw),# Cl (<=1),# Cl (<=1) (raw),# F (<4),# F (<4) (raw),# HB-donors (<5),# HB-donors (<5) (raw),# HB-acceptors (<10),# HB-acceptors (<10) (raw),ADG PLA2X,ADG PLA2X (raw),ADG hERG,ADG hERG (raw),Minimal Alerts,Minimal Alerts (raw),matchting_patterns (Minimal Alerts),step
19.9241,19.9241,5.3436,0.1974037,Cc1c(C(=O)N2CCC(NCC(F)(F)F)CC2)sc2ncnc(Nc3ccc4cc(C(N)=O)n(C(N)=O)c4c3)c12,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*Nc1ncnc2sc(C(=O)N3CCC(NCC(F)(F)F)CC3)c(C)c12,0.9467598,6.0000,0.9467598,0.0000,0.9990381,574.5890,0.5924280,3.4802,0.5237756,161.2600,0.9467598,4.0000,0.9999900,0.0000,0.9968477,3.0000,0.9467598,4.0000,0.6725097,9.0000,0.8068866,-12.0700,0.0026920,-10.8500,1.0000000,1.0000,[],1
18.8522,18.8522,18.4158,0.2911564,CC(c1ccc(-c2ncc[nH]2)cc1)c1ccc2cc(C(N)=O)n(C(N)=O)c2c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*C(C)c1ccc(-c2ncc[nH]2)cc1,0.9868402,4.0000,0.5000000,1.0000,0.9988443,373.4160,0.6385883,3.2089,0.9636703,119.7900,0.9467598,4.0000,0.9999900,0.0000,1.0000000,0.0000,0.9968477,3.0000,0.9868402,4.0000,0.6568592,-10.9400,0.0140876,-8.9200,1.0000000,1.0000,[],1
13.1272,13.1272,28.5767,0.3258117,CS(=O)(=O)Nc1ccccc1Nc1ccc2cc(C(N)=O)n(C(N)=O)c2c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*Nc1ccccc1NS(C)(=O)=O,0.9733457,5.0000,0.9467598,0.0000,0.9996816,387.4210,0.8314456,1.7821,0.7334837,149.3100,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9467598,4.0000,0.9467598,6.0000,0.8427171,-12.4300,0.0153386,-8.8200,1.0000000,1.0000,[],1
4.1555,4.1555,-4.1555,0.0000000,Cc1ccc2cc(C(N)=O)n(C(=O)OC(C)(C)C)c2c1,2,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*C,0.0000000,1.0000,0.0000000,0.0000,0.0000000,274.3200,0.0000000,2.8318,0.0000000,74.3200,0.0000000,2.0000,0.0000000,0.0000,0.0000000,0.0000,0.0000000,1.0000,0.0000000,4.0000,0.0000000,-8.5500,0.0000000,-6.6500,0.0000000,1.0000,[],1
13.7706,13.7706,33.3170,0.3678717,Cc1ccnc(Cc2ccc3cc(C(N)=O)n(C(N)=O)c3c2)n1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*Cc1nccc(C)n1,0.9935481,3.0000,0.9467598,0.0000,0.7025005,309.3290,0.8701575,1.3562,0.9707076,116.8900,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9733457,5.0000,0.4347506,-9.6200,0.0475961,-7.4700,1.0000000,1.0000,[],1
12.6615,12.6615,10.0906,0.1777504,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(Nc3nc(Nc4ccc(OCCN5CCOCC5)c(F)c4)ncc3F)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*Nc1nc(Nc2ccc(OCCN3CCOCC3)c(F)c2)ncc1F,0.6725097,9.0000,0.9467598,0.0000,0.9762897,609.6340,0.3616276,4.7898,0.7819672,145.8600,0.9467598,4.0000,0.9999900,0.0000,0.9999999,2.0000,0.9968477,3.0000,0.3274903,11.0000,0.6931984,-11.1800,0.0025786,-10.9000,1.0000000,1.0000,[],1
12.3054,12.3054,39.8376,0.4073673,Cc1ncc(-c2ccc3cc(C(N)=O)n(C(=O)O)c3c2)cn1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)O|*c1cnc(C)nc1,0.9968477,2.0000,0.9467598,0.0000,0.4153065,296.2860,0.8047563,2.0317,0.9810179,111.1000,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9733457,5.0000,0.6347433,-10.8000,0.0551581,-7.2900,1.0000000,1.0000,[],1
3.2684,3.2684,-3.2684,0.0000000,NC(=O)c1cc2ccc(N)cc2n1C(N)=O,2,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*N,0.0000000,1.0000,0.0000000,0.0000,0.0000000,218.2160,0.0000000,0.2492,0.0000000,117.1300,0.0000000,2.0000,0.0000000,0.0000,0.0000000,0.0000,0.0000000,3.0000,0.0000000,4.0000,0.0000000,-8.7700,0.0000000,-6.1700,0.0000000,1.0000,[],1
3.2684,3.2684,-3.2684,0.0000000,NC(=O)c1cc2ccc(N)cc2n1C(N)=O,2,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*N,0.0000000,1.0000,0.0000000,0.0000,0.0000000,218.2160,0.0000000,0.2492,0.0000000,117.1300,0.0000000,2.0000,0.0000000,0.0000,0.0000000,0.0000,0.0000000,3.0000,0.0000000,4.0000,0.0000000,-8.7700,0.0000000,-6.1700,0.0000000,1.0000,[],1
10.2113,10.2113,8.4176,0.1455383,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1ccc2cc(C(N)=O)n(C(N)=O)c2c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*Nc1nc(N[C@@H]2CCCC[C@@H]2N)nnc1C(N)=O,0.9467598,6.0000,0.0532402,2.0000,0.9999992,452.4790,0.9313403,0.3763,0.0095681,222.9500,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.0532402,6.0000,0.5000000,10.0000,0.9036202,-13.2400,0.0047909,-10.1800,1.0000000,1.0000,[],1
10.6585,10.6585,38.2824,0.3823510,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(NCCN3CCOCC3)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*NCCN1CCOCC1,0.9733457,5.0000,0.9467598,0.0000,0.9997109,388.4680,0.7767166,2.2675,0.9925171,98.8200,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.8964765,7.0000,0.7019417,-11.2400,0.0333258,-7.9000,1.0000000,1.0000,[],1
6.8784,6.8784,47.4694,0.4245923,NC(=O)c1cc2ccc(N3CCOCC3)cc2n1C(N)=O,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*N1CCOCC1,0.9968477,2.0000,0.9467598,0.0000,0.2540809,288.3070,0.9252464,0.5036,0.9892525,103.5800,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9733457,5.0000,0.6395344,-10.8300,0.0692000,-7.0100,1.0000000,1.0000,[],1
20.4816,20.4816,15.4574,0.2807730,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(-c3ccc4oc(=O)n5c4c3OCC5)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*c1ccc2oc(=O)n3c2c1OCC3,0.9968477,2.0000,0.9467598,0.0000,0.9999962,435.4360,0.5906059,3.4907,0.9665132,118.6900,0.9467598,4.0000,0.9999900,0.0000,1.0000000,0.0000,0.9999900,1.0000,0.8083177,8.0000,0.5686413,-10.4000,0.0130481,-9.0100,1.0000000,1.0000,[],1
12.3917,12.3917,29.3056,0.3257602,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(Cc3cccc(F)c3F)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*Cc1cccc(F)c1F,0.9935481,3.0000,0.9467598,0.0000,0.9996501,386.3980,0.4298767,4.3924,0.9988514,74.3200,0.9998222,3.0000,0.9999900,0.0000,0.9999999,2.0000,0.9999900,1.0000,0.9868402,4.0000,0.7639247,-11.7000,0.0177209,-8.6500,1.0000000,1.0000,[],1
10.0117,10.0117,29.2998,0.3071209,COc1ccc(CNc2ccc3cc(C(N)=O)n(C(N)=O)c3c2)cc1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*NCc1ccc(OC)cc1,0.9733457,5.0000,0.9467598,0.0000,0.9716324,338.3670,0.7741857,2.2877,0.9791150,112.3700,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9968477,3.0000,0.9733457,5.0000,0.3700745,-9.2300,0.0261365,-8.1900,1.0000000,1.0000,[],1
7.7604,7.7604,30.9248,0.3022279,CC(C)OC(=O)n1c(C(N)=O)cc2ccc(N)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)C|*N,0.9968477,2.0000,0.9467598,0.0000,0.0274875,261.2810,0.8380554,1.7155,0.9915989,100.3400,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9733457,5.0000,0.1666571,-7.6700,0.1084313,-6.4400,1.0000000,1.0000,[],1
18.3027,18.3027,17.1272,0.2767957,CC(C)(C)OC(=O)N1C=Cc2[nH]c(-c3ccc4cc(C(N)=O)n(C(=O)OC(C)(C)C)c4c3)cc2C1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*c1cc2c([nH]1)C=CN(C(=O)OC(C)(C)C)C2,0.9968477,2.0000,0.9467598,0.0000,0.9999999,478.5490,0.2906602,5.2399,0.9640446,119.6500,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9467598,6.0000,0.6630598,-10.9800,0.0116788,-9.1400,1.0000000,1.0000,[],1
11.3212,11.3212,16.1437,0.2145694,COC(=O)c1ccc(Nc2ncc(F)c(Nc3ccc4cc(C(N)=O)n(C(=O)OC(C)(C)C)c4c3)n2)cc1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*Nc1nc(Nc2ccc(C(=O)OC)cc2)ncc1F,0.9467598,6.0000,0.9467598,0.0000,0.9999934,520.5210,0.3722410,4.7263,0.7158775,150.4600,0.9467598,4.0000,0.9999900,0.0000,1.0000000,1.0000,0.9968477,3.0000,0.5000000,10.0000,0.7525294,-11.6100,0.0043587,-10.2900,1.0000000,1.0000,[],1
13.3664,13.3664,39.8661,0.4158782,NC(=O)c1cc2ccc(Cc3sc(=O)[nH]c3O)cc2n1C(=O)O,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)O|*Cc1sc(=O)[nH]c1O,0.9935481,3.0000,0.9467598,0.0000,0.9556105,333.3250,0.8736707,1.3125,0.8640068,138.4100,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9467598,4.0000,0.9467598,6.0000,0.7664072,-11.7200,0.0431132,-7.5900,1.0000000,1.0000,[],1
18.2161,18.2161,12.9308,0.2433351,CCOC(=O)n1c(C(N)=O)cc2ccc(-c3cccc(CO[Si](C)(C)C(C)(C)C)c3F)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OCC|*c1cccc(CO[Si](C)(C)C(C)(C)C)c1F,0.9467598,6.0000,0.9467598,0.0000,0.9999998,470.6170,0.1837075,6.0727,0.9976702,83.5500,0.9998222,3.0000,0.9999900,0.0000,1.0000000,1.0000,0.9999900,1.0000,0.9733457,5.0000,0.7300185,-11.4400,0.0069299,-9.7500,1.0000000,1.0000,[],1
13.1047,13.1047,15.2291,0.2213576,CC(C)(C)OC(=O)N1CCc2[nH]nc(Nc3ccc4cc(C(N)=O)n(C(=O)OC(C)(C)C)c4c3)c2C1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*Nc1n[nH]c2c1CN(C(=O)OC(C)(C)C)CC2,0.9935481,3.0000,0.9467598,0.0000,0.9999993,496.5680,0.4492131,4.2833,0.7983764,144.5700,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9968477,3.0000,0.8083177,8.0000,0.6071120,-10.6300,0.0051317,-10.1000,1.0000000,1.0000,[],1
21.6418,21.6418,-1.3030,0.1588967,CC(C)(C)S(=O)(=O)Oc1ccc(-c2ccc3cc(C(N)=O)n(C(=O)NC4CCCC4)c3c2)cc1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)NC1CCCC1|*c1ccc(OS(=O)(=O)C(C)(C)C)cc1,0.9733457,5.0000,0.9467598,0.0000,0.9999998,483.5900,0.4259661,4.4146,0.9617417,120.4900,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9467598,6.0000,0.7639247,-11.7000,0.0010252,-11.9700,1.0000000,1.0000,[],1
9.0070,9.0070,34.6963,0.3414323,NC(=O)c1cc2ccc(N)cc2n1C(=O)c1ccccn1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)c1ccccn1|*N,0.9968477,2.0000,0.9467598,0.0000,0.1399584,280.2870,0.8660650,1.4059,0.9889043,104.0000,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9733457,5.0000,0.3053345,-8.8100,0.0692000,-7.0100,1.0000000,1.0000,[],1
17.9276,17.9276,9.8976,0.2173841,NC(=O)CNc1ccc(-c2ccnc(Nc3ccc4cc(C(N)=O)n(C(=O)O)c4c3)n2)cc1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)O|*Nc1nccc(-c2ccc(NCC(N)=O)cc2)n1,0.8964765,7.0000,0.9467598,0.0000,0.9999985,445.4390,0.7644304,2.3641,0.2299033,178.2500,0.9467598,4.0000,0.9999900,0.0000,1.0000000,0.0000,0.5000000,5.0000,0.8083177,8.0000,0.8928971,-13.0700,0.0044342,-10.2700,1.0000000,1.0000,[],1
25.4567,25.4567,1.6632,0.2118744,CC(C)(C)OC(=O)NCC(c1ccc2cc(C(N)=O)n(C(=O)OC(C)(C)C)c2c1)c1c[nH]c2nccnc12,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*C(CNC(=O)OC(C)(C)C)c1c[nH]c2nccnc12,0.9733457,5.0000,0.5000000,1.0000,0.9999933,520.5900,0.4195219,4.4513,0.6537386,154.2200,0.9467598,4.0000,0.9999900,0.0000,1.0000000,0.0000,0.9968477,3.0000,0.8083177,8.0000,0.8235271,-12.2300,0.0038643,-10.4300,1.0000000,1.0000,[],1
20.5295,20.5295,15.6389,0.2825663,CCOC(=O)c1ncsc1NC(=O)n1c(C(N)=O)cc2ccc(N3CCNCC3)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)Nc1scnc1C(=O)OCC|*N1CCNCC1,0.9733457,5.0000,0.9467598,0.0000,0.9999980,442.5010,0.8231084,1.8632,0.9147605,131.5800,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9968477,3.0000,0.6725097,9.0000,0.7048242,-11.2600,0.0105414,-9.2600,1.0000000,1.0000,[],1
7.8457,7.8457,36.8998,0.3495747,CC(C)(C)OC(=O)n1c(C(N)=O)cc2ccc(CC=O)cc21,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(=O)OC(C)(C)C|*CC=O,0.9935481,3.0000,0.9467598,0.0000,0.5534450,302.3300,0.7770534,2.2648,0.9957556,91.3900,0.9999995,2.0000,0.9999900,0.0000,1.0000000,0.0000,0.9999900,1.0000,0.9733457,5.0000,0.2937406,-8.7300,0.0613088,-7.1600,1.0000000,1.0000,[],1
10.4402,10.4402,35.4793,0.3587459,COc1ccc(OC)c(-c2ccc3cc(C(N)=O)n(C(N)=O)c3c2)c1,1,[*]n1c(C(N)=O)cc2ccc([*])cc21,*C(N)=O|*c1cc(OC)ccc1OC,0.9868402,4.0000,0.9467598,0.0000,0.9740265,339.3510,0.7660978,2.3512,0.9830856,109.5700,0.9998222,3.0000,0.9999900,0.0000,1.0000000,0.0000,0.9998222,2.0000,0.9733457,5.0000,0.5344839,-10.2000,0.0336051,-7.8900,1.0000000,1.0000,[],1
